type,job,job_require,course_acquire,course,path
single_hop_synonym,Fullstack (FinTech) #1,Project Management,Project Management,SF220,"['Fullstack (FinTech) #1', 'require>', 'Project Management', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,System Administration,System Administration,SF222,"['Fullstack (FinTech) #1', 'require>', 'System Administration', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,System Administration,System Administration,CN310,"['Fullstack (FinTech) #1', 'require>', 'System Administration', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #1,SQL,SQL,CN351,"['Fullstack (FinTech) #1', 'require>', 'SQL', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #1,SQL,SQL,SF220,"['Fullstack (FinTech) #1', 'require>', 'SQL', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,SQL,SQL,SF230,"['Fullstack (FinTech) #1', 'require>', 'SQL', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,NoSQL Database,NoSQL Database,SF230,"['Fullstack (FinTech) #1', 'require>', 'NoSQL Database', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,Database Management System,Database Management System,SF230,"['Fullstack (FinTech) #1', 'require>', 'Database Management System', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,Programming Language,Programming Language,SF210,"['Fullstack (FinTech) #1', 'require>', 'Programming Language', 'include<', 'SF210']"
single_hop_synonym,Fullstack (FinTech) #1,Programming Language,Programming Language,SF211,"['Fullstack (FinTech) #1', 'require>', 'Programming Language', 'include<', 'SF211']"
single_hop_synonym,Fullstack (FinTech) #1,API,API,SF230,"['Fullstack (FinTech) #1', 'require>', 'API', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,API,API,SF220,"['Fullstack (FinTech) #1', 'require>', 'API', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,API,API,SF211,"['Fullstack (FinTech) #1', 'require>', 'API', 'include<', 'SF211']"
single_hop_synonym,Fullstack (FinTech) #1,API,API,CN351,"['Fullstack (FinTech) #1', 'require>', 'API', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #1,Testing,Testing,SF210,"['Fullstack (FinTech) #1', 'require>', 'Testing', 'include<', 'SF210']"
single_hop_synonym,Fullstack (FinTech) #1,Testing,Testing,SF220,"['Fullstack (FinTech) #1', 'require>', 'Testing', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Event Driven Architecture,Event Driven Architecture,SF222,"['Fullstack (FinTech) #1', 'require>', 'Event Driven Architecture', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,Node.js,Node.js,SF220,"['Fullstack (FinTech) #1', 'require>', 'Node.js', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Software Engineering,Software Engineering,CN310,"['Fullstack (FinTech) #1', 'require>', 'Software Engineering', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #1,Software Engineering,Software Engineering,SF230,"['Fullstack (FinTech) #1', 'require>', 'Software Engineering', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,Software Engineering,Software Engineering,SF220,"['Fullstack (FinTech) #1', 'require>', 'Software Engineering', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Workflow,Workflow,SF230,"['Fullstack (FinTech) #1', 'require>', 'Workflow', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,Project Manager,Project Manager,SF222,"['Fullstack (FinTech) #1', 'require>', 'Project Manager', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,Server Configuration,Server Configuration,CN310,"['Fullstack (FinTech) #1', 'require>', 'Server Configuration', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #1,Database,Database,SF222,"['Fullstack (FinTech) #1', 'require>', 'Database', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,Database,Database,SF220,"['Fullstack (FinTech) #1', 'require>', 'Database', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Database,Database,CN351,"['Fullstack (FinTech) #1', 'require>', 'Database', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #1,Database,Database,CN311,"['Fullstack (FinTech) #1', 'require>', 'Database', 'include<', 'CN311']"
single_hop_synonym,Fullstack (FinTech) #1,Database,Database,CN310,"['Fullstack (FinTech) #1', 'require>', 'Database', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #1,Web Application,Web Application,SF222,"['Fullstack (FinTech) #1', 'require>', 'Web Application', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,RESTful API,RESTful API,SF220,"['Fullstack (FinTech) #1', 'require>', 'RESTful API', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Java,Java,CN311,"['Fullstack (FinTech) #1', 'require>', 'Java', 'include<', 'CN311']"
single_hop_synonym,Fullstack (FinTech) #1,Java,Java,SF212,"['Fullstack (FinTech) #1', 'require>', 'Java', 'include<', 'SF212']"
single_hop_synonym,Fullstack (FinTech) #1,Java,Java,SF211,"['Fullstack (FinTech) #1', 'require>', 'Java', 'include<', 'SF211']"
single_hop_synonym,Fullstack (FinTech) #1,MySQL,MySQL,SF230,"['Fullstack (FinTech) #1', 'require>', 'MySQL', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,MySQL,MySQL,CN310,"['Fullstack (FinTech) #1', 'require>', 'MySQL', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #1,MongoDB,MongoDB,CN351,"['Fullstack (FinTech) #1', 'require>', 'MongoDB', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #1,Database Management,Database Management,SF230,"['Fullstack (FinTech) #1', 'require>', 'Database Management', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #1,Database Management,Database Management,SF220,"['Fullstack (FinTech) #1', 'require>', 'Database Management', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #1,Caching,Caching,SF222,"['Fullstack (FinTech) #1', 'require>', 'Caching', 'include<', 'SF222']"
single_hop_synonym,Fullstack (FinTech) #1,Caching,Caching,CN351,"['Fullstack (FinTech) #1', 'require>', 'Caching', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #1,Caching,Caching,CN310,"['Fullstack (FinTech) #1', 'require>', 'Caching', 'include<', 'CN310']"
